Type,Price,Location,Baths,Area,Beds,Lat,Lng
Upper Portion,PKR45 Thousand,"Wapda Town, Lahore, Punjab",3,10 Marla,2,31.4311985,74.26435819999999
Upper Portion,PKR40 Thousand,"Expo Avenue Society, Lahore, Punjab",3,10 Marla,3,31.456696,74.258648
Upper Portion,PKR47 Thousand,"Wapda Town, Lahore, Punjab",2,10 Marla,2,31.4311985,74.26435819999999
House,PKR5.95 Lakh,"Gulberg, Lahore, Punjab",7,2 Kanal,6,31.5164883,74.3499496
House,PKR5 Lakh,"Muslim Town, Lahore, Punjab",7,2 Kanal,5,31.5193603,74.3228206
House,PKR15 Lakh,"Gulberg, Lahore, Punjab",7,4 Kanal,6,31.5164883,74.3499496
House,PKR15 Lakh,"Gulberg, Lahore, Punjab",10,4 Kanal,6,31.5164883,74.3499496
House,PKR4.1 Lakh,"Gulberg, Lahore, Punjab",6,1 Kanal,5,31.5164883,74.3499496
House,PKR4.5 Lakh,"Gulberg, Lahore, Punjab",6,2 Kanal,6,31.5164883,74.3499496
House,PKR9.5 Lakh,"Gulberg, Lahore, Punjab",10,2.1 Kanal,6,31.5164883,74.3499496
Lower Portion,PKR30 Thousand,"Government Employees Cooperative Housing Society (GECHS), Lahore, Punjab",2,5 Marla,2,31.4431825,74.28688679999999
House,PKR15 Lakh,"Gulberg, Lahore, Punjab",10,4 Kanal,7,31.5164883,74.3499496
House,PKR5.5 Lakh,"Gulberg, Lahore, Punjab",8,2 Kanal,4,31.5164883,74.3499496
House,PKR4 Lakh,"Gulberg, Lahore, Punjab",5,1 Kanal,4,31.5164883,74.3499496
House,PKR15 Lakh,"Garden Town, Lahore, Punjab",10,4 Kanal,7,31.515509,74.3191314
Lower Portion,PKR30 Thousand,"Government Employees Cooperative Housing Society (GECHS), Lahore, Punjab",2,5 Marla,2,31.4431825,74.28688679999999
Upper Portion,PKR18 Thousand,"Township, Lahore, Punjab",2,5 Marla,2,31.4474685,74.30807089999999
Room,PKR22 Thousand,"Architects Engineers Housing Society, Lahore, Punjab",1,10 Marla,1,31.4432618,74.2597483
Upper Portion,PKR45 Thousand,"Bahria Town, Lahore, Punjab",3,10 Marla,3,31.3694884,74.1768412
