,Type,Price,Location,Baths,Beds,Lat,Lng,Area_Marla
0,Upper Portion,45000,"Wapda Town, Lahore, Punjab",3,2,31.4311985,74.26435819999999,10
1,Upper Portion,40000,"Expo Avenue Society, Lahore, Punjab",3,3,31.456696,74.258648,10
2,Upper Portion,47000,"Wapda Town, Lahore, Punjab",2,2,31.4311985,74.26435819999999,10
10,Lower Portion,30000,"Government Employees Cooperative Housing Society (GECHS), Lahore, Punjab",2,2,31.4431825,74.28688679999999,5
15,Lower Portion,30000,"Government Employees Cooperative Housing Society (GECHS), Lahore, Punjab",2,2,31.4431825,74.28688679999999,5
16,Upper Portion,18000,"Township, Lahore, Punjab",2,2,31.4474685,74.30807089999999,5
17,Room,22000,"Architects Engineers Housing Society, Lahore, Punjab",1,1,31.4432618,74.2597483,10
18,Upper Portion,45000,"Bahria Town, Lahore, Punjab",3,3,31.3694884,74.1768412,10
19,House,55000,"Bahria Town, Lahore, Punjab",3,3,31.3694884,74.1768412,5
20,Flat,45000,"Bahria Town, Lahore, Punjab",1,1,31.3694884,74.1768412,24
21,House,45000,"Raiwind Road, Lahore, Punjab",4,3,31.3689001,74.2325105,3
22,House,40000,"Raiwind Road, Lahore, Punjab",4,3,31.3689001,74.2325105,3
23,Flat,28000,"Bahria Town, Lahore, Punjab",1,1,31.3694884,74.1768412,24
24,Flat,40000,"Bahria Town, Lahore, Punjab",2,2,31.3694884,74.1768412,36
25,Flat,40000,"Bahria Town, Lahore, Punjab",1,1,31.3694884,74.1768412,24
26,House,46000,"Military Accounts Housing Society, Lahore, Punjab",3,2,31.42053739999999,74.28395309999999,8
27,Lower Portion,37000,"Military Accounts Housing Society, Lahore, Punjab",2,2,31.42053739999999,74.28395309999999,8
28,Upper Portion,36000,"Military Accounts Housing Society, Lahore, Punjab",2,2,31.42053739999999,74.28395309999999,8
29,Flat,75000,"Bahria Town, Lahore, Punjab",2,2,31.3694884,74.1768412,36
30,Upper Portion,50000,"Bahria Town, Lahore, Punjab",4,3,31.3694884,74.1768412,10
31,House,140000,"Bahria Town, Lahore, Punjab",5,5,31.3694884,74.1768412,10
32,Flat,13000,"Pak Arab Housing Society, Lahore, Punjab",1,1,31.431384,74.3484833,3
33,Lower Portion,65000,"Bahria Town, Lahore, Punjab",1,1,31.3694884,74.1768412,8
34,Flat,50000,"Bahria Town, Lahore, Punjab",1,1,31.3694884,74.1768412,25
35,House,110000,"Bahria Town, Lahore, Punjab",6,5,31.3694884,74.1768412,10
36,House,110000,"Bahria Town, Lahore, Punjab",6,5,31.3694884,74.1768412,10
37,House,110000,"Bahria Town, Lahore, Punjab",6,5,31.3694884,74.1768412,10
