Type,Price,Location,Baths,Area,Beds
Upper Portion,PKR45 Thousand,"Wapda Town, Lahore, Punjab",3,10 Marla,2
Upper Portion,PKR40 Thousand,"Expo Avenue Society, Lahore, Punjab",3,10 Marla,3
Upper Portion,PKR47 Thousand,"Wapda Town, Lahore, Punjab",2,10 Marla,2
House,PKR5.95 Lakh,"Gulberg, Lahore, Punjab",7,2 Kanal,6
House,PKR5 Lakh,"Muslim Town, Lahore, Punjab",7,2 Kanal,5
House,PKR15 Lakh,"Gulberg, Lahore, Punjab",7,4 Kanal,6
House,PKR15 Lakh,"Gulberg, Lahore, Punjab",10,4 Kanal,6
House,PKR4.1 Lakh,"Gulberg, Lahore, Punjab",6,1 Kanal,5
House,PKR4.5 Lakh,"Gulberg, Lahore, Punjab",6,2 Kanal,6
House,PKR9.5 Lakh,"Gulberg, Lahore, Punjab",10,2.1 Kanal,6
Lower Portion,PKR30 Thousand,"Government Employees Cooperative Housing Society (GECHS), Lahore, Punjab",2,5 Marla,2
House,PKR15 Lakh,"Gulberg, Lahore, Punjab",10,4 Kanal,7
House,PKR5.5 Lakh,"Gulberg, Lahore, Punjab",8,2 Kanal,4
House,PKR4 Lakh,"Gulberg, Lahore, Punjab",5,1 Kanal,4
House,PKR15 Lakh,"Garden Town, Lahore, Punjab",10,4 Kanal,7
Lower Portion,PKR30 Thousand,"Government Employees Cooperative Housing Society (GECHS), Lahore, Punjab",2,5 Marla,2
Upper Portion,PKR18 Thousand,"Township, Lahore, Punjab",2,5 Marla,2
Room,PKR22 Thousand,"Architects Engineers Housing Society, Lahore, Punjab",1,10 Marla,1
Upper Portion,PKR45 Thousand,"Bahria Town, Lahore, Punjab",3,10 Marla,3
House,PKR55 Thousand,"Bahria Town, Lahore, Punjab",3,5 Marla,3
Flat,PKR45 Thousand,"Bahria Town, Lahore, Punjab",1,2.4 Marla,1
House,PKR45 Thousand,"Raiwind Road, Lahore, Punjab",4,3 Marla,3
House,PKR40 Thousand,"Raiwind Road, Lahore, Punjab",4,3 Marla,3
Flat,PKR28 Thousand,"Bahria Town, Lahore, Punjab",1,2.4 Marla,1
Flat,PKR40 Thousand,"Bahria Town, Lahore, Punjab",2,3.6 Marla,2
Flat,PKR40 Thousand,"Bahria Town, Lahore, Punjab",1,2.4 Marla,1
House,PKR46 Thousand,"Military Accounts Housing Society, Lahore, Punjab",3,8 Marla,2
Lower Portion,PKR37 Thousand,"Military Accounts Housing Society, Lahore, Punjab",2,8 Marla,2
Upper Portion,PKR36 Thousand,"Military Accounts Housing Society, Lahore, Punjab",2,8 Marla,2
Flat,PKR75 Thousand,"Bahria Town, Lahore, Punjab",2,3.6 Marla,2
Upper Portion,PKR50 Thousand,"Bahria Town, Lahore, Punjab",4,10 Marla,3
House,PKR1.4 Lakh,"Bahria Town, Lahore, Punjab",5,10 Marla,5
Flat,PKR13 Thousand,"Pak Arab Housing Society, Lahore, Punjab",1,3 Marla,1
Lower Portion,PKR65 Thousand,"Bahria Town, Lahore, Punjab",1,8 Marla,1
Flat,PKR50 Thousand,"Bahria Town, Lahore, Punjab",1,2.5 Marla,1
House,PKR1.1 Lakh,"Bahria Town, Lahore, Punjab",6,10 Marla,5
House,PKR1.1 Lakh,"Bahria Town, Lahore, Punjab",6,10 Marla,5
House,PKR1.1 Lakh,"Bahria Town, Lahore, Punjab",6,10 Marla,5
House,PKR1.1 Lakh,"Bahria Town, Lahore, Punjab",6,10 Marla,5
House,PKR1.1 Lakh,"Bahria Town, Lahore, Punjab",6,10 Marla,5
House,PKR1.1 Lakh,"Bahria Town, Lahore, Punjab",6,10 Marla,5
House,PKR1.1 Lakh,"Bahria Town, Lahore, Punjab",6,10 Marla,5
House,PKR1.1 Lakh,"Bahria Town, Lahore, Punjab",6,10 Marla,5
House,PKR1.1 Lakh,"Bahria Town, Lahore, Punjab",6,10 Marla,5
House,PKR1.1 Lakh,"Bahria Town, Lahore, Punjab",6,10 Marla,5
House,PKR1.1 Lakh,"Bahria Town, Lahore, Punjab",6,10 Marla,5
House,PKR1.1 Lakh,"Bahria Town, Lahore, Punjab",6,10 Marla,5
House,PKR2.9 Lakh,"Bahria Town, Lahore, Punjab",6,1 Kanal,6
House,PKR92 Thousand,"Bahria Town, Lahore, Punjab",4,5 Marla,3
House,PKR1.64 Lakh,"Bahria Town, Lahore, Punjab",6,10 Marla,5
Upper Portion,PKR55 Thousand,"Bahria Town, Lahore, Punjab",4,1 Kanal,3
House,PKR1.45 Lakh,"Bahria Town, Lahore, Punjab",6,1 Kanal,6
House,PKR90 Thousand,"Bahria Town, Lahore, Punjab",4,8 Marla,4
Flat,PKR45 Thousand,"Bahria Town, Lahore, Punjab",1,1.8 Marla,1
Flat,PKR60 Thousand,"Bahria Town, Lahore, Punjab",2,3.1 Marla,2
Flat,PKR40 Thousand,"Bahria Town, Lahore, Punjab",1,2.2 Marla,1
Lower Portion,PKR55 Thousand,"Bahria Town, Lahore, Punjab",2,10 Marla,2
Lower Portion,PKR55 Thousand,"Bahria Town, Lahore, Punjab",2,10 Marla,2
House,PKR65 Thousand,"Bahria Town, Lahore, Punjab",3,8 Marla,3
House,PKR95 Thousand,"Bahria Town, Lahore, Punjab",6,10 Marla,5
House,PKR70 Thousand,"Bahria Town, Lahore, Punjab",4,5 Marla,3
House,PKR1.9 Lakh,"Bahria Town, Lahore, Punjab",6,1 Kanal,5
Lower Portion,PKR53 Thousand,"Bahria Town, Lahore, Punjab",2,10 Marla,2
Upper Portion,PKR1 Lakh,"DHA Defence, Lahore, Punjab",3,13 Marla,3
House,PKR3.5 Lakh,"DHA Defence, Lahore, Punjab",6,2 Kanal,5
House,PKR2.8 Lakh,"DHA Defence, Lahore, Punjab",6,1 Kanal,5
House,PKR2 Lakh,"DHA Defence, Lahore, Punjab",6,1 Kanal,5
House,PKR3.5 Lakh,"DHA Defence, Lahore, Punjab",5,1 Kanal,5
House,PKR3 Lakh,"DHA Defence, Lahore, Punjab",6,1 Kanal,5
House,PKR3.5 Lakh,"DHA Defence, Lahore, Punjab",6,1 Kanal,5
House,PKR3.5 Lakh,"DHA Defence, Lahore, Punjab",6,1 Kanal,5
House,PKR3.35 Lakh,"DHA Defence, Lahore, Punjab",6,1 Kanal,5
House,PKR3 Lakh,"DHA Defence, Lahore, Punjab",6,1 Kanal,5
House,PKR2.9 Lakh,"DHA Defence, Lahore, Punjab",6,1 Kanal,5
House,PKR3 Lakh,"DHA Defence, Lahore, Punjab",6,1 Kanal,5
House,PKR3.3 Lakh,"DHA Defence, Lahore, Punjab",6,1 Kanal,5
House,PKR3.4 Lakh,"DHA Defence, Lahore, Punjab",6,1 Kanal,5
House,PKR3.5 Lakh,"DHA Defence, Lahore, Punjab",6,1 Kanal,5
Room,PKR50 Thousand,"DHA Defence, Lahore, Punjab",2,1 Kanal,1
